PPG GREEN,time
2217901.0,1767084708.834
2219241.0,1767084708.874
2220939.0,1767084708.913
2222588.0,1767084708.952
2223782.0,1767084708.993
2224994.0,1767084709.034
2226576.0,1767084709.073
2227734.0,1767084709.113
2229533.0,1767084709.154
2230304.0,1767084709.193
2229662.0,1767084709.233
2229286.0,1767084709.274
2229693.0,1767084709.313
2230008.0,1767084709.353
2230739.0,1767084709.395
2231217.0,1767084709.433
2231970.0,1767084709.473
2232920.0,1767084709.514
2233413.0,1767084709.553
2234812.0,1767084709.594
2235285.0,1767084709.635
2236425.0,1767084709.674
2237701.0,1767084709.714
2239033.0,1767084709.755
2239771.0,1767084709.794
2241267.0,1767084709.834
2242874.0,1767084709.875
2243663.0,1767084709.914
2245226.0,1767084709.954
2245179.0,1767084709.997
2244293.0,1767084710.033
2244367.0,1767084710.073
2244121.0,1767084710.114
2244336.0,1767084710.153
2244966.0,1767084710.194
2245566.0,1767084710.235
2246642.0,1767084710.274
2246564.0,1767084710.314
2247159.0,1767084710.356
2248215.0,1767084710.385
2248215.0,1767084710.424
2249300.0,1767084710.465
2249747.0,1767084710.504
2251098.0,1767084710.544
2252153.0,1767084710.586
2253082.0,1767084710.625
2253949.0,1767084710.665
2255410.0,1767084710.706
2255498.0,1767084710.745
2254309.0,1767084710.786
2253595.0,1767084710.826
2253619.0,1767084710.865
2253325.0,1767084710.905
2254479.0,1767084710.947
2254177.0,1767084710.986
2254543.0,1767084711.026
2255002.0,1767084711.067
2254760.0,1767084711.102
2255398.0,1767084711.134
2256163.0,1767084711.176
2256873.0,1767084711.212
2257738.0,1767084711.253
2257930.0,1767084711.294
2259485.0,1767084711.374
2259778.0,1767084711.415
2259273.0,1767084711.453
2258663.0,1767084711.333
2257254.0,1767084711.494
2255805.0,1767084711.535
2254523.0,1767084711.574
2254365.0,1767084711.614
2253794.0,1767084711.655
2253408.0,1767084711.694
2253597.0,1767084711.734
2253189.0,1767084711.776
2252575.0,1767084711.854
2252337.0,1767084711.814
2252826.0,1767084711.895
2252674.0,1767084711.935
2252983.0,1767084711.975
2253065.0,1767084712.016
2252924.0,1767084712.055
2253598.0,1767084712.095
2253653.0,1767084712.136
2250046.0,1767084712.215
2246100.0,1767084712.256
2253185.0,1767084712.176
2243379.0,1767084712.295
2241092.0,1767084712.335
2238891.0,1767084712.377
2237175.0,1767084712.415
2235469.0,1767084712.455
2233578.0,1767084712.497
2232029.0,1767084712.536
2230315.0,1767084712.576
2229569.0,1767084712.617
2228710.0,1767084712.656
2227918.0,1767084712.696
2227348.0,1767084712.777
2227391.0,1767084712.737
2226708.0,1767084712.816
2227414.0,1767084712.857
2226913.0,1767084712.896
2224995.0,1767084712.936
2221365.0,1767084712.978
2217631.0,1767084713.017
2214809.0,1767084713.057
