eda,time
0.40473,1721467271.0
0.531528,1721467271.25
0.464927,1721467271.5
0.420099,1721467271.75
0.414976,1721467272.0
0.411134,1721467272.25
0.407292,1721467272.5
0.411134,1721467272.75
0.414976,1721467273.0
0.42138,1721467273.25
0.422661,1721467273.5
0.430346,1721467273.75
0.435469,1721467274.0
0.432907,1721467274.25
0.431627,1721467274.5
0.430346,1721467274.75
0.432907,1721467275.0
0.426503,1721467275.25
0.425223,1721467275.5
0.423942,1721467275.75
0.422661,1721467276.0
0.426503,1721467276.25
0.426503,1721467276.5
0.426503,1721467276.75
0.426503,1721467277.0
0.426503,1721467277.25
0.425223,1721467277.5
0.423942,1721467277.75
0.42138,1721467278.0
0.420099,1721467278.25
0.420099,1721467278.5
0.423942,1721467278.75
0.422661,1721467279.0
0.423942,1721467279.25
0.42138,1721467279.5
0.42138,1721467279.75
0.42138,1721467280.0
0.420099,1721467280.25
0.416257,1721467280.5
0.418819,1721467280.75
0.414976,1721467281.0
0.414976,1721467281.25
0.417538,1721467281.5
0.416257,1721467281.75
0.414976,1721467282.0
0.414976,1721467282.25
0.411134,1721467282.5
0.411134,1721467282.75
0.409853,1721467283.0
0.412415,1721467283.25
0.408572,1721467283.5
0.412415,1721467283.75
0.412415,1721467284.0
0.411134,1721467284.25
0.411134,1721467284.5
0.411134,1721467284.75
0.411134,1721467285.0
0.409853,1721467285.25
0.407292,1721467285.5
0.407292,1721467285.75
0.407292,1721467286.0
0.408572,1721467286.25
0.40473,1721467286.5
0.406011,1721467286.75
0.408572,1721467287.0
0.408572,1721467287.25
0.406011,1721467287.5
0.407292,1721467287.75
0.407292,1721467288.0
0.407292,1721467288.25
0.403449,1721467288.5
0.402168,1721467288.75
0.402168,1721467289.0
0.400888,1721467289.25
0.400888,1721467289.5
0.403449,1721467289.75
0.403449,1721467290.0
0.40473,1721467290.25
0.40473,1721467290.5
0.403449,1721467290.75
0.403449,1721467291.0
0.400888,1721467291.25
0.399607,1721467291.5
0.398326,1721467291.75
0.398326,1721467292.0
0.398326,1721467292.25
0.400888,1721467292.5
0.402168,1721467292.75
0.400888,1721467293.0
0.399607,1721467293.25
0.399607,1721467293.5
0.400888,1721467293.75
0.395764,1721467294.0
0.394484,1721467294.25
0.394484,1721467294.5
0.394484,1721467294.75
0.395764,1721467295.0
0.398326,1721467295.25
0.397045,1721467295.5
0.397045,1721467295.75
0.395764,1721467296.0
0.394484,1721467296.25
0.391922,1721467296.5
0.391922,1721467296.75
0.393203,1721467297.0
0.393203,1721467297.25
0.390641,1721467297.5
0.391922,1721467297.75
0.394484,1721467298.0
0.393203,1721467298.25
0.391922,1721467298.5
0.393203,1721467298.75
0.391922,1721467299.0
0.390641,1721467299.25
0.38808,1721467299.5
0.386799,1721467299.75
0.386799,1721467300.0
0.386799,1721467300.25
0.38808,1721467300.5
0.38808,1721467300.75
0.38936,1721467301.0
0.38936,1721467301.25
0.38936,1721467301.5
0.385518,1721467301.75
0.384237,1721467302.0
0.384237,1721467302.25
0.382957,1721467302.5
0.382957,1721467302.75
0.381676,1721467303.0
0.385518,1721467303.25
0.386799,1721467303.5
0.384237,1721467303.75
0.385518,1721467304.0
0.384237,1721467304.25
0.384237,1721467304.5
0.384237,1721467304.75
0.381676,1721467305.0
0.380395,1721467305.25
0.380395,1721467305.5
0.381676,1721467305.75
0.379114,1721467306.0
0.382957,1721467306.25
0.382957,1721467306.5
0.381676,1721467306.75
0.384237,1721467307.0
0.382957,1721467307.25
0.381676,1721467307.5
0.380395,1721467307.75
0.376553,1721467308.0
0.376553,1721467308.25
0.376553,1721467308.5
0.375272,1721467308.75
0.377833,1721467309.0
0.376553,1721467309.25
0.379114,1721467309.5
0.379114,1721467309.75
0.377833,1721467310.0
0.377833,1721467310.25
0.379114,1721467310.5
0.375272,1721467310.75
0.373991,1721467311.0
0.373991,1721467311.25
0.37271,1721467311.5
0.375272,1721467311.75
0.375272,1721467312.0
0.376553,1721467312.25
0.376553,1721467312.5
0.377833,1721467312.75
0.376553,1721467313.0
0.375272,1721467313.25
0.373991,1721467313.5
0.375272,1721467313.75
0.376553,1721467314.0
0.376553,1721467314.25
0.373991,1721467314.5
0.375272,1721467314.75
0.377833,1721467315.0
0.376553,1721467315.25
0.376553,1721467315.5
0.373991,1721467315.75
0.375272,1721467316.0
0.371429,1721467316.25
0.371429,1721467316.5
0.37271,1721467316.75
0.370149,1721467317.0
0.370149,1721467317.25
0.371429,1721467317.5
0.373991,1721467317.75
0.37271,1721467318.0
0.371429,1721467318.25
0.37271,1721467318.5
0.37271,1721467318.75
0.368868,1721467319.0
0.368868,1721467319.25
0.368868,1721467319.5
0.370149,1721467319.75
0.367587,1721467320.0
0.368868,1721467320.25
0.370149,1721467320.5
0.370149,1721467320.75
0.370149,1721467321.0
0.370149,1721467321.25
0.370149,1721467321.5
0.366306,1721467321.75
0.368868,1721467322.0
0.366306,1721467322.25
0.366306,1721467322.5
0.365025,1721467322.75
0.366306,1721467323.0
0.368868,1721467323.25
0.370149,1721467323.5
0.368868,1721467323.75
0.367587,1721467324.0
0.367587,1721467324.25
0.367587,1721467324.5
0.365025,1721467324.75
0.365025,1721467325.0
0.363745,1721467325.25
0.363745,1721467325.5
0.362464,1721467325.75
0.362464,1721467326.0
0.365025,1721467326.25
0.366306,1721467326.5
0.365025,1721467326.75
0.368868,1721467327.0
0.366306,1721467327.25
0.366306,1721467327.5
0.365025,1721467327.75
0.361183,1721467328.0
0.361183,1721467328.25
0.359902,1721467328.5
0.362464,1721467328.75
0.362464,1721467329.0
0.362464,1721467329.25
0.363745,1721467329.5
0.366306,1721467329.75
0.362464,1721467330.0
0.363745,1721467330.25
0.361183,1721467330.5
0.359902,1721467330.75
0.361183,1721467331.0
0.358622,1721467331.25
0.358622,1721467331.5
0.357341,1721467331.75
0.359902,1721467332.0
0.362464,1721467332.25
0.362464,1721467332.5
0.361183,1721467332.75
0.359902,1721467333.0
0.359902,1721467333.25
0.357341,1721467333.5
0.357341,1721467333.75
0.357341,1721467334.0
0.35606,1721467334.25
0.357341,1721467334.5
0.358622,1721467334.75
0.359902,1721467335.0
0.359902,1721467335.25
0.359902,1721467335.5
0.359902,1721467335.75
0.358622,1721467336.0
0.35606,1721467336.25
0.35606,1721467336.5
0.354779,1721467336.75
0.35606,1721467337.0
0.358622,1721467337.25
0.358622,1721467337.5
0.357341,1721467337.75
0.35606,1721467338.0
0.357341,1721467338.25
0.357341,1721467338.5
0.35606,1721467338.75
0.353498,1721467339.0
0.352218,1721467339.25
0.352218,1721467339.5
0.352218,1721467339.75
0.352218,1721467340.0
0.354779,1721467340.25
0.354779,1721467340.5
0.35606,1721467340.75
0.354779,1721467341.0
0.352218,1721467341.25
0.354779,1721467341.5
0.350937,1721467341.75
0.350937,1721467342.0
0.352218,1721467342.25
0.349656,1721467342.5
0.348375,1721467342.75
0.352218,1721467343.0
0.352218,1721467343.25
0.352218,1721467343.5
0.352218,1721467343.75
0.350937,1721467344.0
0.349656,1721467344.25
