bvp,time
-59.84,1721466928.53125
-64.13,1721466928.546875
-68.91,1721466928.5625
-74.45,1721466928.578125
-80.81,1721466928.59375
-87.77,1721466928.609375
-94.71,1721466928.625
-100.5,1721466928.640625
-103.8,1721466928.65625
-103.46,1721466928.671875
-99.09,1721466928.6875
-91.17,1721466928.703125
-81.04,1721466928.71875
-70.28,1721466928.734375
-60.15,1721466928.75
-51.25,1721466928.765625
-43.43,1721466928.78125
-36.26,1721466928.796875
-29.28,1721466928.8125
-22.45,1721466928.828125
-15.96,1721466928.84375
-10.14,1721466928.859375
-5.24,1721466928.875
-1.3,1721466928.890625
1.76,1721466928.90625
4.08,1721466928.921875
5.77,1721466928.9375
6.8,1721466928.953125
7.08,1721466928.96875
6.55,1721466928.984375
5.19,1721466929.0
3.2,1721466929.015625
0.93,1721466929.03125
-1.23,1721466929.046875
-2.9,1721466929.0625
-3.95,1721466929.078125
-4.44,1721466929.09375
-4.63,1721466929.109375
-4.8,1721466929.125
-5.13,1721466929.140625
-5.68,1721466929.15625
-6.43,1721466929.171875
-7.39,1721466929.1875
-8.61,1721466929.203125
-10.17,1721466929.21875
-12.14,1721466929.234375
-14.47,1721466929.25
-17.07,1721466929.265625
-19.81,1721466929.28125
-22.6,1721466929.296875
-25.39,1721466929.3125
-28.16,1721466929.328125
-30.91,1721466929.34375
-33.64,1721466929.359375
-36.39,1721466929.375
-39.13,1721466929.390625
-41.83,1721466929.40625
-44.3,1721466929.421875
-46.2,1721466929.4375
-47.14,1721466929.453125
-46.85,1721466929.46875
-45.3,1721466929.484375
-42.75,1721466929.5
-39.68,1721466929.515625
-36.4,1721466929.53125
-32.98,1721466929.546875
-29.12,1721466929.5625
-24.39,1721466929.578125
-18.5,1721466929.59375
-11.55,1721466929.609375
-4.04,1721466929.625
3.32,1721466929.640625
9.93,1721466929.65625
15.67,1721466929.671875
20.98,1721466929.6875
26.84,1721466929.703125
34.51,1721466929.71875
45.2,1721466929.734375
59.72,1721466929.75
78.22,1721466929.765625
100.06,1721466929.78125
123.89,1721466929.796875
147.95,1721466929.8125
170.47,1721466929.828125
190.05,1721466929.84375
205.8,1721466929.859375
217.16,1721466929.875
223.64,1721466929.890625
224.34,1721466929.90625
217.92,1721466929.921875
202.7,1721466929.9375
177.18,1721466929.953125
140.47,1721466929.96875
92.65,1721466929.984375
34.85,1721466930.0
-30.71,1721466930.015625
-100.79,1721466930.03125
-171.43,1721466930.046875
-238.51,1721466930.0625
-298.63,1721466930.078125
-349.97,1721466930.09375
-392.6,1721466930.109375
-428.04,1721466930.125
-458.1,1721466930.140625
-483.75,1721466930.15625
-504.42,1721466930.171875
-518.45,1721466930.1875
-524.09,1721466930.203125
-520.63,1721466930.21875
-508.98,1721466930.234375
-491.27,1721466930.25
-470.04,1721466930.265625
-447.32,1721466930.28125
-424.37,1721466930.296875
