text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,blue,0,7,3,1,1209
blue,red,0,16,1,1,938
yellow,red,0,4,1,1,1234
green,blue,0,11,3,1,933
yellow,green,0,2,2,1,1073
green,yellow,0,9,4,1,760
yellow,yellow,1,1,4,1,729
red,green,0,6,2,1,957
red,blue,0,7,3,1,523
yellow,yellow,1,1,4,1,631
yellow,green,0,2,2,1,747
green,green,1,10,2,1,795
green,blue,0,11,3,1,675
red,yellow,0,5,4,1,809
red,blue,0,7,3,1,727
red,blue,0,7,3,1,584
red,red,1,8,1,1,938
red,yellow,0,5,4,1,635
yellow,green,0,2,2,1,951
yellow,red,0,4,1,1,892
blue,blue,1,15,3,1,586
blue,yellow,0,13,4,1,995
blue,yellow,0,13,4,1,748
blue,yellow,0,13,4,1,590
yellow,blue,0,3,3,1,704
blue,red,0,16,1,1,818
blue,red,0,16,1,1,759
blue,red,0,16,1,1,646
green,red,0,12,1,1,682
red,green,0,6,2,1,811
yellow,blue,0,3,3,1,813
blue,yellow,0,13,4,1,519
green,yellow,0,9,4,1,527
blue,yellow,0,13,4,1,453
green,blue,0,11,3,1,399
green,blue,0,11,3,1,602
red,blue,0,7,3,1,418
red,green,0,6,2,1,702
yellow,yellow,1,1,4,1,723
red,yellow,0,5,4,1,458
blue,red,0,16,1,1,696
blue,blue,1,15,3,1,483
green,red,0,12,1,1,633
green,red,0,12,1,1,584
blue,blue,1,15,3,1,530
blue,green,0,14,2,1,612
green,green,1,10,2,1,588
red,red,1,8,1,1,542
red,red,1,8,1,1,519
green,green,1,10,2,1,676
blue,blue,1,15,3,1,474
yellow,blue,0,3,3,1,620
yellow,yellow,1,1,4,1,441
blue,blue,1,15,3,1,466
yellow,blue,0,3,3,1,472
green,red,0,12,1,1,459
green,yellow,0,9,4,1,1397
yellow,yellow,1,1,4,1,458
yellow,green,0,2,2,1,747
blue,green,0,14,2,1,565
blue,blue,1,15,3,1,411
red,blue,0,7,2,2,724
green,red,0,12,1,1,704
blue,green,0,14,2,1,1919
yellow,green,0,2,2,1,774
blue,green,0,14,2,1,682
red,green,0,6,2,1,619
red,blue,0,7,3,1,462
green,red,0,12,1,1,574
green,yellow,0,9,4,1,622
green,yellow,0,9,4,1,661
blue,yellow,0,13,4,1,445
yellow,yellow,1,1,4,1,466
yellow,red,0,4,1,1,557
blue,green,0,14,2,1,713
red,yellow,0,5,4,1,665
yellow,green,0,2,2,1,730
blue,yellow,0,13,4,1,782
green,green,1,10,2,1,520
green,yellow,0,9,4,1,582
red,yellow,0,5,4,1,622
red,red,1,8,1,1,604
yellow,green,0,2,2,1,708
green,green,1,10,2,1,646
yellow,yellow,1,1,4,1,514
blue,green,0,14,2,1,645
red,green,0,6,2,1,577
yellow,red,0,4,1,1,561
yellow,red,0,4,1,1,441
green,red,0,12,1,1,563
red,red,1,8,1,1,419
blue,yellow,0,13,4,1,568
blue,green,0,14,2,1,623
green,yellow,0,9,4,1,569
yellow,red,0,4,1,1,865
blue,red,0,16,1,1,583
blue,red,0,16,1,1,367
green,green,1,10,2,1,927
blue,blue,1,15,3,1,620
red,green,0,6,2,1,1001
red,green,0,6,2,1,830
green,blue,0,11,3,1,488
red,yellow,0,5,4,1,444
yellow,blue,0,3,3,1,619
yellow,red,0,4,1,1,607
green,green,1,10,2,1,845
red,yellow,0,5,1,2,768
yellow,blue,0,3,3,1,1130
blue,red,0,16,1,1,689
red,red,1,8,1,1,601
green,blue,0,11,3,1,671
yellow,yellow,1,1,4,1,596
red,red,1,8,1,1,622
yellow,red,0,4,1,1,656
red,blue,0,7,3,1,591
green,green,1,10,2,1,1239
yellow,green,0,2,2,1,602
green,blue,0,11,3,1,554
red,green,0,6,2,1,677
blue,green,0,14,2,1,825
