emda,time
0.092239,1644481153.5
0.130672,1644481153.75
0.133234,1644481154.0
0.135797,1644481154.25
0.134515,1644481154.5
0.138359,1644481154.75
0.134515,1644481155.0
0.131953,1644481155.25
0.130672,1644481155.5
0.129391,1644481155.75
0.131953,1644481156.0
0.130672,1644481156.25
0.130672,1644481156.5
0.129391,1644481156.75
0.124267,1644481157.0
0.122986,1644481157.25
0.122986,1644481157.5
0.125548,1644481157.75
0.122986,1644481158.0
0.124267,1644481158.25
0.121704,1644481158.5
0.119142,1644481158.75
0.117861,1644481159.0
0.11658,1644481159.25
0.117861,1644481159.5
0.115299,1644481159.75
0.119142,1644481160.0
0.119142,1644481160.25
0.115299,1644481160.5
0.115299,1644481160.75
0.115299,1644481161.0
0.117861,1644481161.25
0.119142,1644481161.5
0.117861,1644481161.75
0.11658,1644481162.0
0.117861,1644481162.25
0.114018,1644481162.5
0.115299,1644481162.75
0.115299,1644481163.0
0.11658,1644481163.25
0.117861,1644481163.5
0.117861,1644481163.75
0.115299,1644481164.0
0.114018,1644481164.25
0.112737,1644481164.5
0.112737,1644481164.75
0.11658,1644481165.0
0.117861,1644481165.25
0.11658,1644481165.5
0.115299,1644481165.75
0.112737,1644481166.0
0.112737,1644481166.25
0.11658,1644481166.5
0.11658,1644481166.75
0.115299,1644481167.0
0.11658,1644481167.25
0.114018,1644481167.5
0.114018,1644481167.75
0.114018,1644481168.0
0.11658,1644481168.25
0.117861,1644481168.5
0.11658,1644481168.75
0.115299,1644481169.0
0.112737,1644481169.25
0.112737,1644481169.5
0.115299,1644481169.75
0.114018,1644481170.0
0.11658,1644481170.25
0.11658,1644481170.5
0.114018,1644481170.75
0.112737,1644481171.0
0.114018,1644481171.25
0.115299,1644481171.5
0.115299,1644481171.75
0.11658,1644481172.0
0.114018,1644481172.25
0.112737,1644481172.5
0.114018,1644481172.75
0.115299,1644481173.0
0.11658,1644481173.25
0.11658,1644481173.5
0.114018,1644481173.75
0.112737,1644481174.0
0.112737,1644481174.25
0.115299,1644481174.5
0.11658,1644481174.75
0.114018,1644481175.0
0.115299,1644481175.25
0.114018,1644481175.5
0.112737,1644481175.75
0.111456,1644481176.0
0.117861,1644481176.25
0.11658,1644481176.5
0.11658,1644481176.75
0.114018,1644481177.0
0.115299,1644481177.25
0.111456,1644481177.5
0.115299,1644481177.75
0.11658,1644481178.0
0.117861,1644481178.25
0.11658,1644481178.5
0.114018,1644481178.75
0.112737,1644481179.0
0.112737,1644481179.25
0.115299,1644481179.5
0.114018,1644481179.75
0.115299,1644481180.0
0.114018,1644481180.25
0.111456,1644481180.5
0.114018,1644481180.75
0.111456,1644481181.0
0.11658,1644481181.25
0.115299,1644481181.5
0.115299,1644481181.75
0.111456,1644481182.0
0.112737,1644481182.25
0.111456,1644481182.5
0.114018,1644481182.75
0.11658,1644481183.0
0.114018,1644481183.25
