bvp,time
-44.19,1611470706.3125
-38.84,1611470706.328125
-30.72,1611470706.34375
-20.87,1611470706.359375
-10.61,1611470706.375
-1.23,1611470706.390625
6.48,1611470706.40625
12.29,1611470706.421875
16.46,1611470706.4375
19.51,1611470706.453125
21.95,1611470706.46875
24.06,1611470706.484375
25.85,1611470706.5
27.18,1611470706.515625
27.87,1611470706.53125
27.84,1611470706.546875
27.13,1611470706.5625
25.88,1611470706.578125
24.29,1611470706.59375
22.5,1611470706.609375
20.61,1611470706.625
18.71,1611470706.640625
16.9,1611470706.65625
15.29,1611470706.671875
13.97,1611470706.6875
12.96,1611470706.703125
12.25,1611470706.71875
11.8,1611470706.734375
11.57,1611470706.75
11.44,1611470706.765625
11.23,1611470706.78125
10.66,1611470706.796875
9.49,1611470706.8125
7.59,1611470706.828125
5.06,1611470706.84375
2.23,1611470706.859375
-0.48,1611470706.875
-2.75,1611470706.890625
-4.44,1611470706.90625
-5.71,1611470706.921875
-6.88,1611470706.9375
-8.48,1611470706.953125
-10.96,1611470706.96875
-14.64,1611470706.984375
-19.52,1611470707.0
-25.06,1611470707.015625
-30.11,1611470707.03125
-33.08,1611470707.046875
-32.35,1611470707.0625
-26.85,1611470707.078125
-16.58,1611470707.09375
-2.76,1611470707.109375
12.48,1611470707.125
26.79,1611470707.140625
38.38,1611470707.15625
46.65,1611470707.171875
52.3,1611470707.1875
56.97,1611470707.203125
62.54,1611470707.21875
70.42,1611470707.234375
81.12,1611470707.25
94.1,1611470707.265625
108.09,1611470707.28125
121.49,1611470707.296875
132.9,1611470707.3125
141.44,1611470707.328125
146.82,1611470707.34375
149.22,1611470707.359375
148.99,1611470707.375
146.38,1611470707.390625
141.42,1611470707.40625
134.08,1611470707.421875
124.39,1611470707.4375
112.74,1611470707.453125
99.68,1611470707.46875
85.73,1611470707.484375
70.92,1611470707.5
54.39,1611470707.515625
34.41,1611470707.53125
8.55,1611470707.546875
-25.98,1611470707.5625
-72.0,1611470707.578125
-131.56,1611470707.59375
-204.73,1611470707.609375
-288.28,1611470707.625
-375.08,1611470707.640625
-454.95,1611470707.65625
-517.31,1611470707.671875
-554.5,1611470707.6875
-564.35,1611470707.703125
-550.54,1611470707.71875
-520.61,1611470707.734375
-482.54,1611470707.75
-441.9,1611470707.765625
-400.8,1611470707.78125
-358.77,1611470707.796875
-314.62,1611470707.8125
-267.84,1611470707.828125
-218.99,1611470707.84375
-169.14,1611470707.859375
-119.48,1611470707.875
-71.16,1611470707.890625
-25.71,1611470707.90625
14.76,1611470707.921875
47.96,1611470707.9375
72.21,1611470707.953125
87.02,1611470707.96875
93.41,1611470707.984375
93.57,1611470708.0
90.16,1611470708.015625
85.71,1611470708.03125
82.21,1611470708.046875
80.93,1611470708.0625
82.21,1611470708.078125
85.37,1611470708.09375
88.89,1611470708.109375
90.75,1611470708.125
89.23,1611470708.140625
83.53,1611470708.15625
74.12,1611470708.171875
62.56,1611470708.1875
50.77,1611470708.203125
40.37,1611470708.21875
32.13,1611470708.234375
25.82,1611470708.25
20.57,1611470708.265625
15.37,1611470708.28125
9.35,1611470708.296875
2.13,1611470708.3125
-6.34,1611470708.328125
-15.87,1611470708.34375
-26.18,1611470708.359375
-37.05,1611470708.375
-48.18,1611470708.390625
-59.09,1611470708.40625
-68.99,1611470708.421875
-76.75,1611470708.4375
-81.17,1611470708.453125
-81.31,1611470708.46875
-76.82,1611470708.484375
-68.18,1611470708.5
-56.67,1611470708.515625
-44.0,1611470708.53125
-31.83,1611470708.546875
-21.31,1611470708.5625
-12.83,1611470708.578125
-6.12,1611470708.59375
-0.5,1611470708.609375
4.68,1611470708.625
9.87,1611470708.640625
15.22,1611470708.65625
20.65,1611470708.671875
26.04,1611470708.6875
31.37,1611470708.703125
36.68,1611470708.71875
42.03,1611470708.734375
47.46,1611470708.75
52.85,1611470708.765625
58.06,1611470708.78125
62.92,1611470708.796875
67.28,1611470708.8125
70.97,1611470708.828125
73.78,1611470708.84375
75.42,1611470708.859375
75.59,1611470708.875
74.06,1611470708.890625
70.83,1611470708.90625
66.2,1611470708.921875
60.69,1611470708.9375
54.99,1611470708.953125
49.68,1611470708.96875
45.09,1611470708.984375
41.2,1611470709.0
37.64,1611470709.015625
33.83,1611470709.03125
29.09,1611470709.046875
22.9,1611470709.0625
15.03,1611470709.078125
5.8,1611470709.09375
-3.97,1611470709.109375
-12.98,1611470709.125
-19.83,1611470709.140625
-23.38,1611470709.15625
-23.08,1611470709.171875
-19.12,1611470709.1875
-12.26,1611470709.203125
-3.54,1611470709.21875
6.03,1611470709.234375
15.72,1611470709.25
24.96,1611470709.265625
33.28,1611470709.28125
40.18,1611470709.296875
45.22,1611470709.3125
48.1,1611470709.328125
48.93,1611470709.34375
48.11,1611470709.359375
46.34,1611470709.375
44.32,1611470709.390625
42.56,1611470709.40625
41.31,1611470709.421875
40.57,1611470709.4375
40.25,1611470709.453125
40.3,1611470709.46875
40.75,1611470709.484375
41.66,1611470709.5
43.04,1611470709.515625
44.75,1611470709.53125
46.47,1611470709.546875
47.71,1611470709.5625
47.95,1611470709.578125
46.76,1611470709.59375
43.91,1611470709.609375
39.45,1611470709.625
33.72,1611470709.640625
27.22,1611470709.65625
20.55,1611470709.671875
14.14,1611470709.6875
8.28,1611470709.703125
2.92,1611470709.71875
-2.28,1611470709.734375
-7.86,1611470709.75
-14.36,1611470709.765625
-22.06,1611470709.78125
-30.71,1611470709.796875
-39.41,1611470709.8125
-46.76,1611470709.828125
-51.18,1611470709.84375
-51.5,1611470709.859375
-47.33,1611470709.875
-39.24,1611470709.890625
-28.56,1611470709.90625
-16.95,1611470709.921875
-5.88,1611470709.9375
3.66,1611470709.953125
11.26,1611470709.96875
16.94,1611470709.984375
20.87,1611470710.0
23.3,1611470710.015625
24.42,1611470710.03125
24.44,1611470710.046875
23.61,1611470710.0625
22.14,1611470710.078125
20.23,1611470710.09375
17.99,1611470710.109375
15.51,1611470710.125
12.9,1611470710.140625
10.32,1611470710.15625
8.0,1611470710.171875
6.15,1611470710.1875
4.89,1611470710.203125
4.14,1611470710.21875
3.66,1611470710.234375
3.06,1611470710.25
1.89,1611470710.265625
-0.16,1611470710.28125
-3.28,1611470710.296875
-7.32,1611470710.3125
-11.99,1611470710.328125
-16.84,1611470710.34375
-21.46,1611470710.359375
-25.62,1611470710.375
-29.33,1611470710.390625
-32.88,1611470710.40625
-36.61,1611470710.421875
-40.71,1611470710.4375
-44.95,1611470710.453125
-48.69,1611470710.46875
-50.95,1611470710.484375
-50.76,1611470710.5
-47.48,1611470710.515625
-41.01,1611470710.53125
-31.84,1611470710.546875
-20.82,1611470710.5625
-8.95,1611470710.578125
2.86,1611470710.59375
13.91,1611470710.609375
23.7,1611470710.625
31.88,1611470710.640625
38.3,1611470710.65625
42.99,1611470710.671875
46.2,1611470710.6875
48.34,1611470710.703125
49.78,1611470710.71875
50.77,1611470710.734375
51.38,1611470710.75
51.53,1611470710.765625
51.15,1611470710.78125
50.3,1611470710.796875
49.29,1611470710.8125
48.52,1611470710.828125
48.36,1611470710.84375
48.91,1611470710.859375
49.92,1611470710.875
50.78,1611470710.890625
50.71,1611470710.90625
48.99,1611470710.921875
45.29,1611470710.9375
39.73,1611470710.953125
32.89,1611470710.96875
25.67,1611470710.984375
18.96,1611470711.0
13.37,1611470711.015625
9.04,1611470711.03125
5.61,1611470711.046875
2.4,1611470711.0625
-1.34,1611470711.078125
-6.16,1611470711.09375
-12.18,1611470711.109375
-19.06,1611470711.125
-26.04,1611470711.140625
-32.11,1611470711.15625
-36.3,1611470711.171875
-37.86,1611470711.1875
-36.42,1611470711.203125
-32.06,1611470711.21875
-25.26,1611470711.234375
-16.73,1611470711.25
-7.29,1611470711.265625
2.34,1611470711.28125
11.58,1611470711.296875
19.96,1611470711.3125
27.1,1611470711.328125
32.67,1611470711.34375
36.54,1611470711.359375
38.74,1611470711.375
39.61,1611470711.390625
39.62,1611470711.40625
39.22,1611470711.421875
38.7,1611470711.4375
38.06,1611470711.453125
37.15,1611470711.46875
35.86,1611470711.484375
34.27,1611470711.5
32.7,1611470711.515625
31.56,1611470711.53125
31.17,1611470711.546875
31.54,1611470711.5625
32.4,1611470711.578125
33.24,1611470711.59375
33.52,1611470711.609375
32.87,1611470711.625
31.14,1611470711.640625
28.38,1611470711.65625
24.78,1611470711.671875
20.55,1611470711.6875
15.86,1611470711.703125
10.73,1611470711.71875
5.1,1611470711.734375
-1.23,1611470711.75
-8.43,1611470711.765625
-16.5,1611470711.78125
-25.12,1611470711.796875
-33.55,1611470711.8125
-40.76,1611470711.828125
-45.64,1611470711.84375
-47.35,1611470711.859375
-45.48,1611470711.875
-40.24,1611470711.890625
-32.25,1611470711.90625
-22.39,1611470711.921875
-11.61,1611470711.9375
-0.74,1611470711.953125
9.47,1611470711.96875
18.43,1611470711.984375
25.7,1611470712.0
31.0,1611470712.015625
34.26,1611470712.03125
35.62,1611470712.046875
35.46,1611470712.0625
34.27,1611470712.078125
32.63,1611470712.09375
31.04,1611470712.109375
29.87,1611470712.125
29.24,1611470712.140625
29.1,1611470712.15625
29.25,1611470712.171875
29.5,1611470712.1875
29.69,1611470712.203125
29.76,1611470712.21875
29.7,1611470712.234375
29.54,1611470712.25
29.25,1611470712.265625
28.75,1611470712.28125
27.87,1611470712.296875
26.37,1611470712.3125
24.09,1611470712.328125
20.94,1611470712.34375
17.1,1611470712.359375
12.95,1611470712.375
8.99,1611470712.390625
5.65,1611470712.40625
3.08,1611470712.421875
1.14,1611470712.4375
-0.57,1611470712.453125
-2.6,1611470712.46875
-5.43,1611470712.484375
-9.45,1611470712.5
-14.78,1611470712.515625
-21.21,1611470712.53125
-28.13,1611470712.546875
-34.5,1611470712.5625
-39.04,1611470712.578125
-40.56,1611470712.59375
-38.25,1611470712.609375
-32.06,1611470712.625
-22.7,1611470712.640625
-11.48,1611470712.65625
0.07,1611470712.671875
10.61,1611470712.6875
19.18,1611470712.703125
25.38,1611470712.71875
29.23,1611470712.734375
31.14,1611470712.75
31.7,1611470712.765625
31.62,1611470712.78125
31.58,1611470712.796875
32.19,1611470712.8125
33.78,1611470712.828125
36.44,1611470712.84375
39.89,1611470712.859375
43.65,1611470712.875
47.15,1611470712.890625
50.0,1611470712.90625
52.1,1611470712.921875
53.63,1611470712.9375
54.89,1611470712.953125
56.12,1611470712.96875
57.43,1611470712.984375
58.79,1611470713.0
60.22,1611470713.015625
61.82,1611470713.03125
63.83,1611470713.046875
66.4,1611470713.0625
69.43,1611470713.078125
72.45,1611470713.09375
74.84,1611470713.109375
76.19,1611470713.125
76.46,1611470713.140625
75.98,1611470713.15625
74.98,1611470713.171875
73.23,1611470713.1875
69.79,1611470713.203125
63.33,1611470713.21875
52.75,1611470713.234375
37.91,1611470713.25
19.86,1611470713.265625
0.63,1611470713.28125
-17.47,1611470713.296875
-32.63,1611470713.3125
-43.96,1611470713.328125
-51.54,1611470713.34375
-55.94,1611470713.359375
-57.84,1611470713.375
-57.72,1611470713.390625
-55.91,1611470713.40625
-52.71,1611470713.421875
-48.62,1611470713.4375
-44.25,1611470713.453125
-40.27,1611470713.46875
-37.12,1611470713.484375
-34.96,1611470713.5
-33.67,1611470713.515625
-33.0,1611470713.53125
-32.75,1611470713.546875
-32.73,1611470713.5625
-32.79,1611470713.578125
-32.69,1611470713.59375
-32.14,1611470713.609375
-30.84,1611470713.625
-28.71,1611470713.640625
-25.93,1611470713.65625
-22.93,1611470713.671875
-20.2,1611470713.6875
-18.05,1611470713.703125
-16.53,1611470713.71875
-15.47,1611470713.734375
-14.65,1611470713.75
-13.98,1611470713.765625
-13.6,1611470713.78125
-13.72,1611470713.796875
-14.42,1611470713.8125
-15.48,1611470713.828125
-16.41,1611470713.84375
-16.74,1611470713.859375
-16.23,1611470713.875
-15.08,1611470713.890625
-13.9,1611470713.90625
-13.45,1611470713.921875
-14.38,1611470713.9375
-16.96,1611470713.953125
-21.08,1611470713.96875
-26.25,1611470713.984375
-31.71,1611470714.0
-36.55,1611470714.015625
-39.79,1611470714.03125
-40.59,1611470714.046875
-38.47,1611470714.0625
-33.48,1611470714.078125
-26.26,1611470714.09375
-17.85,1611470714.109375
-9.48,1611470714.125
-2.18,1611470714.140625
3.38,1611470714.15625
7.0,1611470714.171875
8.88,1611470714.1875
9.47,1611470714.203125
9.28,1611470714.21875
8.8,1611470714.234375
8.34,1611470714.25
8.07,1611470714.265625
7.99,1611470714.28125
8.03,1611470714.296875
8.11,1611470714.3125
8.16,1611470714.328125
8.18,1611470714.34375
8.09,1611470714.359375
7.84,1611470714.375
7.33,1611470714.390625
6.52,1611470714.40625
5.46,1611470714.421875
4.27,1611470714.4375
3.05,1611470714.453125
1.79,1611470714.46875
0.31,1611470714.484375
-1.61,1611470714.5
-4.13,1611470714.515625
-7.18,1611470714.53125
-10.43,1611470714.546875
-13.49,1611470714.5625
-16.05,1611470714.578125
-18.18,1611470714.59375
-20.31,1611470714.609375
-23.02,1611470714.625
-26.77,1611470714.640625
-31.55,1611470714.65625
-36.79,1611470714.671875
-41.54,1611470714.6875
-44.74,1611470714.703125
-45.59,1611470714.71875
-43.73,1611470714.734375
-39.29,1611470714.75
-32.86,1611470714.765625
-25.33,1611470714.78125
-17.78,1611470714.796875
-11.23,1611470714.8125
-6.47,1611470714.828125
-3.78,1611470714.84375
-2.93,1611470714.859375
-3.28,1611470714.875
-4.1,1611470714.890625
-4.91,1611470714.90625
-5.62,1611470714.921875
-6.48,1611470714.9375
-7.71,1611470714.953125
-9.29,1611470714.96875
-10.78,1611470714.984375
-11.48,1611470715.0
-10.81,1611470715.015625
-8.65,1611470715.03125
-5.46,1611470715.046875
-2.19,1611470715.0625
0.13,1611470715.078125
0.7,1611470715.09375
-0.82,1611470715.109375
-4.23,1611470715.125
-9.05,1611470715.140625
-14.67,1611470715.15625
-20.51,1611470715.171875
-26.06,1611470715.1875
-30.87,1611470715.203125
-34.6,1611470715.21875
-37.06,1611470715.234375
-38.39,1611470715.25
-39.05,1611470715.265625
-39.76,1611470715.28125
-41.24,1611470715.296875
-43.96,1611470715.3125
-47.94,1611470715.328125
-52.72,1611470715.34375
-57.52,1611470715.359375
-61.4,1611470715.375
-63.59,1611470715.390625
-63.54,1611470715.40625
-61.12,1611470715.421875
-56.45,1611470715.4375
-49.93,1611470715.453125
-42.03,1611470715.46875
-33.23,1611470715.484375
-24.0,1611470715.5
-14.81,1611470715.515625
-6.21,1611470715.53125
1.14,1611470715.546875
6.59,1611470715.5625
9.72,1611470715.578125
10.52,1611470715.59375
9.45,1611470715.609375
7.33,1611470715.625
5.06,1611470715.640625
3.34,1611470715.65625
2.56,1611470715.671875
2.89,1611470715.6875
4.35,1611470715.703125
6.97,1611470715.71875
10.74,1611470715.734375
15.47,1611470715.75
20.66,1611470715.765625
25.51,1611470715.78125
29.1,1611470715.796875
30.73,1611470715.8125
30.26,1611470715.828125
28.18,1611470715.84375
25.48,1611470715.859375
23.25,1611470715.875
22.24,1611470715.890625
22.56,1611470715.90625
23.66,1611470715.921875
24.59,1611470715.9375
24.4,1611470715.953125
22.58,1611470715.96875
19.2,1611470715.984375
14.92,1611470716.0
10.73,1611470716.015625
7.6,1611470716.03125
6.24,1611470716.046875
6.97,1611470716.0625
9.73,1611470716.078125
14.23,1611470716.09375
19.96,1611470716.109375
26.31,1611470716.125
32.55,1611470716.140625
37.93,1611470716.15625
41.71,1611470716.171875
43.35,1611470716.1875
42.52,1611470716.203125
39.25,1611470716.21875
33.91,1611470716.234375
27.13,1611470716.25
19.78,1611470716.265625
12.76,1611470716.28125
6.91,1611470716.296875
2.88,1611470716.3125
1.01,1611470716.328125
1.24,1611470716.34375
3.2,1611470716.359375
6.25,1611470716.375
9.69,1611470716.390625
12.93,1611470716.40625
15.61,1611470716.421875
17.53,1611470716.4375
18.58,1611470716.453125
18.59,1611470716.46875
17.36,1611470716.484375
14.78,1611470716.5
10.98,1611470716.515625
6.44,1611470716.53125
1.83,1611470716.546875
-2.17,1611470716.5625
-5.21,1611470716.578125
-7.41,1611470716.59375
-9.32,1611470716.609375
-11.63,1611470716.625
-14.87,1611470716.640625
-19.15,1611470716.65625
-24.08,1611470716.671875
-28.93,1611470716.6875
-32.8,1611470716.703125
-34.92,1611470716.71875
-34.78,1611470716.734375
-32.3,1611470716.75
-27.75,1611470716.765625
-21.7,1611470716.78125
-14.92,1611470716.796875
-8.16,1611470716.8125
-2.09,1611470716.828125
2.73,1611470716.84375
5.94,1611470716.859375
7.36,1611470716.875
7.06,1611470716.890625
5.33,1611470716.90625
2.67,1611470716.921875
-0.36,1611470716.9375
-3.32,1611470716.953125
-5.98,1611470716.96875
-8.42,1611470716.984375
-10.85,1611470717.0
-13.4,1611470717.015625
-15.86,1611470717.03125
-17.63,1611470717.046875
-17.84,1611470717.0625
-15.71,1611470717.078125
-10.92,1611470717.09375
-3.88,1611470717.109375
4.29,1611470717.125
12.0,1611470717.140625
17.73,1611470717.15625
20.42,1611470717.171875
19.8,1611470717.1875
16.39,1611470717.203125
11.28,1611470717.21875
5.7,1611470717.234375
0.6,1611470717.25
-3.48,1611470717.265625
-6.54,1611470717.28125
-8.91,1611470717.296875
-11.07,1611470717.3125
-13.4,1611470717.328125
-16.13,1611470717.34375
-19.27,1611470717.359375
-22.62,1611470717.375
