PPG GREEN,time
2234067.0,1637401885.47
2233975.0,1637401885.51
2233607.0,1637401885.549
2233811.0,1637401885.589
2233550.0,1637401885.63
2233827.0,1637401885.67
2233875.0,1637401885.709
2233854.0,1637401885.75
2234239.0,1637401885.789
2234073.0,1637401885.829
2232222.0,1637401885.871
2229525.0,1637401885.909
2227172.0,1637401885.949
2225457.0,1637401885.99
2223964.0,1637401886.029
2222092.0,1637401886.111
2222997.0,1637401886.071
2220993.0,1637401886.15
2220183.0,1637401886.19
2219463.0,1637401886.231
2218693.0,1637401886.271
2218122.0,1637401886.31
2217872.0,1637401886.351
2217799.0,1637401886.39
2217656.0,1637401886.43
2217989.0,1637401886.472
2218180.0,1637401886.51
2218195.0,1637401886.55
2217970.0,1637401886.591
2218190.0,1637401886.63
2218105.0,1637401886.671
2218372.0,1637401886.712
2218476.0,1637401886.751
2219208.0,1637401886.791
2219387.0,1637401886.832
2218859.0,1637401886.872
2216742.0,1637401886.911
2214219.0,1637401886.952
2214625.0,1637401886.991
2217032.0,1637401887.031
2215679.0,1637401887.073
2213248.0,1637401887.111
2210599.0,1637401887.151
2209645.0,1637401887.192
2211932.0,1637401887.231
2212997.0,1637401887.272
2213374.0,1637401887.313
2214319.0,1637401887.352
2215237.0,1637401887.392
2217458.0,1637401887.433
2219786.0,1637401887.472
2221488.0,1637401887.512
2223141.0,1637401887.553
2222357.0,1637401887.592
2222463.0,1637401887.632
2222864.0,1637401887.674
2223667.0,1637401887.712
2223515.0,1637401887.752
2222574.0,1637401887.793
2221587.0,1637401887.832
2221913.0,1637401887.873
2223620.0,1637401887.914
2223249.0,1637401887.953
2222544.0,1637401887.993
2221700.0,1637401888.034
2218726.0,1637401888.074
2215872.0,1637401888.113
2212292.0,1637401888.151
2217266.0,1637401888.19
2214860.0,1637401888.23
2211502.0,1637401888.272
2215732.0,1637401888.31
2218879.0,1637401888.35
2222034.0,1637401888.391
2222656.0,1637401888.43
2223841.0,1637401888.471
2225050.0,1637401888.512
2229011.0,1637401888.551
2230633.0,1637401888.591
2232331.0,1637401888.632
2230728.0,1637401888.671
2229016.0,1637401888.711
2239280.0,1637401888.752
2263245.0,1637401888.791
2276582.0,1637401888.832
2281350.0,1637401888.865
2279307.0,1637401888.901
2274822.0,1637401888.941
2270315.0,1637401888.983
2266783.0,1637401889.022
2265402.0,1637401889.063
2264319.0,1637401889.103
2262798.0,1637401889.143
2261619.0,1637401889.183
2260061.0,1637401889.224
2258448.0,1637401889.264
2256640.0,1637401889.301
2255462.0,1637401889.343
2255121.0,1637401889.382
2254267.0,1637401889.422
2253563.0,1637401889.464
2251409.0,1637401889.495
2248948.0,1637401889.535
2246873.0,1637401889.576
2245488.0,1637401889.616
2244087.0,1637401889.657
2243808.0,1637401889.697
2242344.0,1637401889.736
2241963.0,1637401889.776
2241318.0,1637401889.817
2240594.0,1637401889.857
2239860.0,1637401889.896
2239832.0,1637401889.937
2239447.0,1637401889.976
2239582.0,1637401890.016
2239177.0,1637401890.058
2239561.0,1637401890.097
2240102.0,1637401890.137
2240155.0,1637401890.179
2240698.0,1637401890.218
2241097.0,1637401890.256
2240837.0,1637401890.291
2240663.0,1637401890.325
2243362.0,1637401890.363
2246118.0,1637401890.404
2247301.0,1637401890.444
2247308.0,1637401890.484
2246418.0,1637401890.525
2244871.0,1637401890.564
2243379.0,1637401890.604
2241612.0,1637401890.646
2240824.0,1637401890.685
2240231.0,1637401890.722
2240753.0,1637401890.76
2241206.0,1637401890.799
2241514.0,1637401890.84
2243632.0,1637401890.88
2247382.0,1637401890.919
2253066.0,1637401890.96
2257172.0,1637401891.001
2258208.0,1637401891.04
2273744.0,1637401891.08
2279695.0,1637401891.121
2281379.0,1637401891.16
2278545.0,1637401891.2
2276064.0,1637401891.242
2272766.0,1637401891.28
2269280.0,1637401891.32
2266519.0,1637401891.361
2265385.0,1637401891.4
2265712.0,1637401891.442
2265976.0,1637401891.483
2266079.0,1637401891.522
2266201.0,1637401891.562
2267007.0,1637401891.604
2267499.0,1637401891.644
2268001.0,1637401891.684
2267664.0,1637401891.725
2267495.0,1637401891.764
2266513.0,1637401891.803
2266062.0,1637401891.837
2265354.0,1637401891.875
2265655.0,1637401891.915
2266335.0,1637401891.956
2266443.0,1637401891.995
2265756.0,1637401892.036
2265019.0,1637401892.077
2264130.0,1637401892.116
2263300.0,1637401892.156
2262666.0,1637401892.197
2262359.0,1637401892.236
2261894.0,1637401892.276
2261725.0,1637401892.317
2262325.0,1637401892.356
2262727.0,1637401892.396
2262999.0,1637401892.438
2263645.0,1637401892.476
2264035.0,1637401892.513
2264630.0,1637401892.545
2265491.0,1637401892.584
2265553.0,1637401892.625
2265621.0,1637401892.666
2267042.0,1637401892.705
2268069.0,1637401892.745
2268900.0,1637401892.784
2269311.0,1637401892.824
2270244.0,1637401892.864
2270578.0,1637401892.905
2270334.0,1637401892.944
2272329.0,1637401892.984
2274889.0,1637401893.026
2274889.0,1637401893.061
2275688.0,1637401893.101
2275805.0,1637401893.142
2276045.0,1637401893.181
2276482.0,1637401893.222
2276621.0,1637401893.262
2278490.0,1637401893.301
2280793.0,1637401893.341
2281640.0,1637401893.382
2282586.0,1637401893.422
2282648.0,1637401893.461
2280463.0,1637401893.502
2277562.0,1637401893.541
2274682.0,1637401893.583
2275268.0,1637401893.625
2276699.0,1637401893.664
2276429.0,1637401893.704
2274941.0,1637401893.745
2272602.0,1637401893.784
2269862.0,1637401893.825
2266599.0,1637401893.865
2265714.0,1637401893.904
2266375.0,1637401893.944
2275568.0,1637401893.985
2279568.0,1637401894.025
2281865.0,1637401894.066
2280988.0,1637401894.107
2280091.0,1637401894.146
2283365.0,1637401894.186
2304604.0,1637401894.228
2318869.0,1637401894.266
2329283.0,1637401894.301
2317362.0,1637401894.381
2314116.0,1637401894.422
2324073.0,1637401894.342
2311362.0,1637401894.462
2308605.0,1637401894.502
2306544.0,1637401894.542
2303118.0,1637401894.583
2300976.0,1637401894.622
2300518.0,1637401894.662
2300220.0,1637401894.703
2299434.0,1637401894.742
2298589.0,1637401894.782
2300794.0,1637401895.145
2295166.0,1637401895.428
2300893.0,1637401895.104
2294662.0,1637401895.466
2294403.0,1637401895.506
2296878.0,1637401894.902
2301551.0,1637401895.186
2298103.0,1637401895.307
2300347.0,1637401895.065
2301215.0,1637401895.225
2294236.0,1637401895.547
2299594.0,1637401895.265
2299717.0,1637401895.024
2297424.0,1637401894.825
2299403.0,1637401894.983
2297987.0,1637401894.944
2295779.0,1637401895.387
2296779.0,1637401895.347
2296473.0,1637401894.862
2293772.0,1637401895.586
2293233.0,1637401895.627
2293201.0,1637401895.668
2293351.0,1637401895.707
2293003.0,1637401895.747
2292933.0,1637401895.788
2293092.0,1637401895.827
2293338.0,1637401895.867
2293494.0,1637401895.908
2293888.0,1637401895.947
2294094.0,1637401895.987
2293834.0,1637401896.029
2292465.0,1637401896.067
2290876.0,1637401896.107
2288822.0,1637401896.187
2288219.0,1637401896.228
2287182.0,1637401896.269
2285826.0,1637401896.308
2285073.0,1637401896.348
2284703.0,1637401896.39
2284274.0,1637401896.429
2285075.0,1637401896.469
2289894.0,1637401896.148
2285551.0,1637401896.51
2288330.0,1637401896.549
2289626.0,1637401896.631
2290119.0,1637401896.67
2288818.0,1637401896.59
2289966.0,1637401896.71
2289585.0,1637401896.79
2290044.0,1637401896.831
2291325.0,1637401896.871
2292055.0,1637401896.91
2292049.0,1637401896.95
2290679.0,1637401896.991
2289762.0,1637401896.751
2296632.0,1637401897.031
2315399.0,1637401897.07
2324796.0,1637401897.111
2328208.0,1637401897.151
2328728.0,1637401897.191
2326758.0,1637401897.232
2323532.0,1637401897.27
2320563.0,1637401897.308
2318645.0,1637401897.349
2317933.0,1637401897.388
2316976.0,1637401897.429
2316346.0,1637401897.469
2315894.0,1637401897.509
2315414.0,1637401897.549
2315090.0,1637401897.59
2315218.0,1637401897.63
2315218.0,1637401897.67
2315342.0,1637401897.711
2314681.0,1637401897.747
2313552.0,1637401897.787
2310618.0,1637401897.867
2310026.0,1637401897.908
2311996.0,1637401897.829
2309930.0,1637401897.949
2310219.0,1637401897.988
2309839.0,1637401898.028
2309541.0,1637401898.069
2308933.0,1637401898.108
2308429.0,1637401898.148
2308082.0,1637401898.189
2308101.0,1637401898.229
2308230.0,1637401898.268
2308347.0,1637401898.309
2308645.0,1637401898.348
2308989.0,1637401898.388
2309423.0,1637401898.43
2309738.0,1637401898.468
2310129.0,1637401898.509
2310060.0,1637401898.55
2308617.0,1637401898.589
2307008.0,1637401898.63
2305869.0,1637401898.671
2305086.0,1637401898.71
2304634.0,1637401898.75
2304271.0,1637401898.789
2303747.0,1637401898.829
2303671.0,1637401898.869
2303461.0,1637401898.91
2303123.0,1637401898.949
2301277.0,1637401898.99
2299727.0,1637401899.031
2298374.0,1637401899.07
2297586.0,1637401899.11
2297084.0,1637401899.152
2296682.0,1637401899.189
2296890.0,1637401899.23
2296849.0,1637401899.27
2299418.0,1637401899.309
2302013.0,1637401899.35
2304657.0,1637401899.391
2304744.0,1637401899.431
2304149.0,1637401899.47
2303412.0,1637401899.511
2302654.0,1637401899.551
2304100.0,1637401899.589
2315941.0,1637401899.631
2326336.0,1637401899.669
2331289.0,1637401899.71
2330189.0,1637401899.751
2326485.0,1637401899.79
2324168.0,1637401899.831
2320458.0,1637401899.869
2318686.0,1637401899.908
2317704.0,1637401899.949
2318247.0,1637401899.991
2317697.0,1637401900.03
2316305.0,1637401900.069
2317145.0,1637401900.11
2318377.0,1637401900.14
2319504.0,1637401900.18
2318721.0,1637401900.222
2318256.0,1637401900.261
2318075.0,1637401900.301
2317841.0,1637401900.342
2318123.0,1637401900.381
2319005.0,1637401900.422
2321097.0,1637401900.462
2326751.0,1637401900.501
2338349.0,1637401900.541
2344141.0,1637401900.582
2345844.0,1637401900.622
2344298.0,1637401900.661
2342291.0,1637401900.702
2342336.0,1637401900.741
2340913.0,1637401900.781
2338063.0,1637401900.824
2336480.0,1637401900.858
2335458.0,1637401900.892
2333940.0,1637401900.932
2331342.0,1637401900.971
2328285.0,1637401901.012
2325717.0,1637401901.052
2324207.0,1637401901.091
2323003.0,1637401901.132
2321821.0,1637401901.173
2321113.0,1637401901.213
2319783.0,1637401901.251
2319078.0,1637401901.292
2318709.0,1637401901.331
2318403.0,1637401901.372
2318306.0,1637401901.413
2320297.0,1637401901.452
2322179.0,1637401901.492
2329022.0,1637401901.533
2338494.0,1637401901.572
2341344.0,1637401901.614
2339810.0,1637401901.653
2337590.0,1637401901.692
2335949.0,1637401901.732
2333898.0,1637401901.773
2334141.0,1637401901.813
2338335.0,1637401901.852
2338029.0,1637401901.893
2337874.0,1637401901.932
2339612.0,1637401901.971
2340068.0,1637401902.013
2337725.0,1637401902.051
2334835.0,1637401902.092
2331997.0,1637401902.133
2329087.0,1637401902.172
2328162.0,1637401902.213
2329245.0,1637401902.254
2327987.0,1637401902.293
2323567.0,1637401902.333
2320340.0,1637401902.369
2318271.0,1637401902.409
2315244.0,1637401902.448
2312517.0,1637401902.489
